1776	U
1777	U
1778	U
1779	U
1780	U
1781	U
1782	U
1783	U
1788	U
1771	U
1772	U
1773	U
1774	U
1775	U
1751	U
1752	U
1753	U
1754	U
1755	U
1756	U
1757	U
1758	U
1759	U
1728	U
1729	U
1730	U
1731	U
1732	U
1733	U
1734	U
1735	U
1736	U
1737	U
1738	U
1739	U
1740	U
1741	U
1742	U
1743	U
2096	U
2097	U
2098	U
2099	U
2080	U
2082	U
2092	U
2093	U
2094	U
2095	U
1936	U
1951	U
1999	U
2927	Y
2918	Y
207	V
2384	U
2385	U
2386	U
2387	U
2388	U
2389	U
2390	U
2391	U
2392	U
2393	U
2394	U
2395	U
2396	U
2397	U
2398	U
2399	U
678	V
